id,type,status,location,description,predecessors
237,A,DONE,Bureau,Acheter Tympans,136
238,F,DONE,Bureau,Peindre tympans,237
239,F,DONE,Bureau,Monter tympans,238-242
240,F,Ready-Critic,Bureau,Lumiere interieur decante,147
241,F,DONE,Bureau,Poser dernieres etageres,235-143
242,F,DONE,Bureau,Poser supports tympans,241
243,F,DONE,Bureau,Tester montage Mitras,143
244,F,DONE,Salon,Poser Multiboard,208-131
245,F,DONE,Bureau,Poser lampe centrale,239
246,F,DONE,Bureau,Finiton tympans,239
247,F,DONE,Bureau,Photo résultat,245-246-43
248,F,Ready-Critic,Bureau,Refaire casquettes,247
249,F,DONE,Bureau,Reglage mitras,235
250,F,DONE,Master,Photo Avant,
251,F,DONE,Master,Vider placard,256
252,F,DONE,Master,Tapisser placard,251
253,A,DONE,Master,Acheter etagere,
254,F,DONE,Master,Passer electricité placard,251
255,F,DONE,Master,Mesurer position montant,250
256,F,DONE,Master,Démonter portes placard,255
257,F,DONE,Master,Poser tasseaux placard,258-252-254
258,F,DONE,Master,Préparer tasseaux placard,253
259,F,DONE,Master,Poser Etagère principale,257-268-267
260,F,DONE,Master,Poser montant,259
261,F,DONE,Master,Poser tringles hautes,280
262,F,DONE,Master,Poser tringle droite,276
263,F,DONE,Master,Poser étagère basse gauche,277
264,A,DONE,Master,Revètement sol,
265,F,DONE,Master,Planifier tiroirs,276
266,F,DONE,Master,Valider tiroirs,271
267,F,DONE,Master,Poser revetement sol,264-252
268,F,DONE,Master,Préparer etagere et montant,253
269,F,DONE,Master,Préparer joue gauche,276
270,F,DONE,Master,Imprimer spacers,
271,F,DONE,Master,Percer pour glissières,265-263-272
272,A,DONE,Master,Acheter glissières,
273,A,DONE,Master,Acheter bois tiroirs,266
274,F,DONE,Master,Monter tiroirs,273-284-283
275,F,DONE,Master,Vernir tiroirs,285-286
276,F,DONE,Master,Calculer hauteur étagère,261
277,F,DONE,Master,Poser joue,270-269
278,F,DONE,Master,Poser tiroirs,288-282
279,F,DONE,Master,Remettre portes,260
280,F,DONE,Master,Valider joue + montant,279
281,F,DONE,Master,Couper plinthes,
282,F,DONE,Master,Poser plinthes,277-281
283,F,DONE,Master,Poser glissieres,266
284,F,DONE,Master,Faire gabarit tiroir,265
285,A,DONE,Master,Acheter fond tiroirs,274
286,F,DONE,Master,Tester compas tiroirs,274
287,F,DONE,Master,Préparer eclairage tiroirs,286
288,F,DONE,Master,Finir tiroirs,287-275
289,F,DONE,Master,Tester aménagement,67-69
290,F,Ready-Critic,Master,Retouches peinture,295
291,F,DONE,Master,Peindre murs,15-293
292,F,Ready-Critic,Master,Cache suspension,295
293,F,DONE,Master,Sous couche murs,289-14
294,F,TODO,Master,Poser prises,292
295,F,DONE,Master,Installer meubles,291
296,F,Ready-Critic,Master,Poser lampes chevet,289
297,F,DONE,Master,Automatiser eclairage placard,278
298,F,DONE,Master,Evaluer parquet,289
299,F,TODO,Master,Poser parquet,300
300,A,ToBuy-Critic,Master,Acheter parquet,298
301,F,Ready-Critic,Master,,
302,F,Ready-Critic,Master,,
303,F,Ready-Critic,Master,,
304,F,Ready-Critic,Master,,
305,F,Ready-Critic,Master,,
306,F,Ready-Critic,Master,,
307,F,Ready-Critic,Master,,
308,F,Ready-Critic,Master,,
309,F,Ready-Critic,Master,,
310,F,Ready-Critic,Master,,
